ACF STD,ACF P/N,ACF PARTS MATERIAL,ACF PARTS FINISH,ACF STATUS,,,,,,
ABS0100,ABS0100,,,pe ACF,,,,,,
ABS0258,ABS0258,,D,pe ACF,,,,,,
ABS0807,ABS0807,,J,NO,,,,,,
ABS0807,ABS0807,,F,NO,,,,,,
ABS0997,ABS0997,,F,NO,,,,,,
ABS0997,ABS0997,,J,NO,,,,,,
ABS0997,ABS0997,,G,NO,,,,,,
ASNA2352,ASNA2352,,V,ACF,,,,,,
ASNA2352,ASNA2352,,K,ACF,,,,,,
ASNA2352,ASNA2352,,-,ACR + ACF,,,,,,
NAS1727,NAS1727,,D,ACR + ACF,,,,,,
NAS1727,NAS1727,,E,ACR,,,,,,
NAS6403-6420,NAS6403-6420,,F,ACF,,,,,,
NSA5042,NSA5042,E,,NO,,,,,,
NSA5059,NSA5059,-,,ACR + ACF,,,,,,
NSA5060,NSA5060,C,,NO,,,,,,
NSA5060,NSA5060,L,,pe ACF,,,,,, 
NSA5060,NSA5060,-,,ACR + ACF,,,,,,
NSA5120,NSA5120,A,,ACR + ACF,,,,,,
NSA5120,NSA5120,B,,ACR + ACF,,,,,,
NSA5120,NSA5120,C,,NO,,,,,,
NSA5120,NSA5120,CR,,NO,,,,,,
NSA5120,NSA5120,D,,ACR + ACF,,,,,,
NSA5121,NSA5121,B,,ACR + ACF,,,,,,
NSA5121,NSA5121,C,,NO,,,,,,
NSA5121,NSA5121,CR,,NO,,,,,,
NSA5122,NSA5122,A,,ACR + ACF,,,,,,
NSA5122,NSA5122,B,,ACR + ACF,,,,,,
NSA5122,NSA5122,C,,NO,,,,,,
NSA5122,NSA5122,CR,,NO,,,,,,
NSA5122,NSA5122,D,,ACR + ACF,,,,,,
ABS1763,ABS1763,C,P,NO,,,,,,
EN6069,EN6069,U,,pe ACF,,,,,,
EN6080,EN6080,U,,pe ACF,,,,,,
EN6081,EN6081,U,,pe ACF,,,,,,
EN6101,EN6101,U,,pe ACF,,,,,,
MS16624,MS16624,-,-,NO,,,,,,
NAS1097,NAS1097,AD,F,pe ACF,,,,,,
NAS1097,NAS1097,AD,N,NO,,,,,,
NAS1097,NAS1097,AD,S,?,,,,,,
NAS1097,NAS1097,U,P,NO,,,,,,
NAS1097,NAS1097,U,V,ACF,,,,,,
NAS1833,NAS1833,C,,pe ACF,,,,,,
NAS1833,NAS1833,C,P,pe ACF & ACR,,,,,,
NAS1834,NAS1834,-,,ACR + ACF,,,,,,
NAS1836,NAS1836,C,,ACF,,,,,,
NAS1836,NAS1836,C,S,NO,,,,,,
NSA5067,NSA5067,,,ACR + ACF,,,,,,
NSA5320,NSA5320,,,ACR + ACF,,,,,,
NSA5355,NSA5355,CA,,pe ACF,,,,,,
NSA5372,NSA5372,EW,,ACR + ACF,,,,,,
NSA5372,NSA5372,V,,ACF,,,,,,
NSA5372,NSA5372,-,,ACR + ACF,,,,,,
NSA57304,NSA57304,AD,L,pe ACF & ACR,,,,,,
AS14101,AS14101,,,NO,,,,,,
AS14101,AS14101,C,,NO,,,,,,
MS20001,MS20001,A,,NO,,,,,,
MS20001,MS20001,,,NO,,,,,,
NAS1080,NAS1080,D,,NO,,,,,,
NAS1080,NAS1080,UK,-,ACR,,,,,,
NAS1100,NAS1100,-,,ACR,,,,,,
NAS1100,NAS1100,C,,pe ACF,,,,,,
NAS1101,NAS1101,,,ACR + ACF,,,,,,
NAS577,NAS577,C,E,pe ACF,,,,,,
NAS577,NAS577,C,M,NO,,,,,,
NAS77,NAS77,A,,NO,,,,,,
NAS77,NAS77,A,A,NO,,,,,,
NSA5368,NSA5368,V,,ACF,,,,,,
NSA5477,NSA5477,,,ACR + ACF,,,,,,
 NASM565, NASM565,,C,pe ACF,,,,,,
ABS0572,ABS0572,-,,NO,,,,,,
ABS0572,ABS0572,A,,ACR + ACF,,,,,,
ABS0753,ABS0753,B,,NO,,,,,,
ABS0753,ABS0753,C,,NO,,,,,,
ABS0753,ABS0753,D,,NO,,,,,,
ABS0754,ABS0754,B,,NO,,,,,,
ABS0754,ABS0754,C,,NO,,,,,,
ABS0888 ,ABS0888 ,B,,?,,,,,,
ASNA2551,ASNA2551,,,ACF,,,,,,
ASNA2551,ASNA2551,P,,NO,,,,,,
MS16625,MS16625,-,-,NO,,,,,,
ASNA0077,ASNA0077,C,,ACF,,,,,,
ASNA0077,ASNA0077,E,,ACF,,,,,,
NAS1739,NAS1739,C,,NO,,,,,,
NAS1739,NAS1739,C,W,ACF + ACR,,,,,,
NAS1739,NAS1739,M,,NO,,,,,,
NAS1739,NAS1739,M,W,ACF + ACR,,,,,,
NAS77,NAS77,C,,pe ACF,,,,,,
NSA5040,NSA5040,-,,ACR + ACF,,,,,,
ABS1051,ABS1051,A,-,?,,,,,,
ABS2132,ABS2132,-,KC,?,,,,,,
ABS2277,ABS2277,AP,,NO,,,,,,
